Size (sq. ft.),Number of Bedrooms,House Category
1500,3,Small House
1800,4,Medium House
2200,3,Small House
1300,2,Small House
2500,5,Large House
1900,4,Medium House
2100,3,Small House
1700,3,Small House
2400,5,Large House
2000,4,Medium House
1600,3,Small House
1400,2,Small House
2700,5,Large House
2300,4,Medium House
1200,2,Small House
2600,5,Large House
2800,5,Large House
2900,5,Large House
1750,3,Small House
1850,3,Small House
1950,4,Medium House
2050,3,Small House
3000,5,Large House
3100,5,Large House
2200,3,Small House
2100,3,Small House
1600,3,Small House
1350,2,Small House
2000,4,Medium House
3000,5,Large House
2400,5,Large House
1900,4,Medium House
3200,5,Large House
1800,2,Small House
3300,5,Large House
1400,2,Small House
1950,2,Small House
2700,4,Medium House
2300,3,Small House
2200,3,Small House
3500,5,Large House
2100,3,Small House
1700,3,Small House
3300,5,Large House
3200,5,Large House
1800,3,Small House
3000,5,Large House
2500,4,Medium House
2400,4,Medium House
2000,3,Small House
1500,3,Small House
2000,2,Small House
1800,4,Medium House
3200,3,Small House
1900,5,Large House
2800,4,Medium House
2400,4,Medium House
2700,3,Small House
2200,4,Medium House
2600,4,Medium House
2300,5,Large House
3100,4,Medium House
2900,4,Medium House
2200,3,Small House
1800,2,Small House
2000,4,Medium House
2600,3,Small House
2000,4,Medium House
1900,4,Medium House
1800,2,Small House
1700,4,Medium House
1500,3,Small House
2500,3,Small House
1600,5,Large House
2200,3,Small House
2300,3,Small House
2000,5,Large House
2700,5,Large House
1900,3,Small House
2400,2,Small House
2200,5,Large House
1800,3,Small House
3000,3,Small House
2500,5,Large House
1900,5,Large House
2800,4,Medium House
2300,5,Large House
1600,3,Small House
2900,3,Small House
3100,4,Medium House
1800,3,Small House
2100,5,Large House
1700,5,Large House
2400,3,Small House
2000,4,Medium House
1600,5,Large House
1400,5,Large House
2700,2,Small House
2300,3,Small House
1200,3,Small House
